Rank,Name,School,Year
1,Anthony Edwards,Georgia,Fr.
2,James Wiseman,Memphis,Fr.
3,LaMelo Ball,USA,Intl.
4,Obi Toppin,Dayton,So.
5,Jaden McDaniels,Washington,Fr.
6,Nico Mannion,Arizona,Fr.
7,Deni Avdija,Israel,Intl.
8,Daniel Oturu,Minnesota,So.
9,Cole Anthony,North Carolina,Fr.
10,Vernon Carey,Duke,Fr.
11,Tyrese Haliburton,Iowa St.,So.
12,Theo Maledon,France,Intl.
13,Onyeka Okongwu,USC,Fr.
14,Isaac Okoro,Auburn,Fr.
15,Josh Green,Arizona,Fr.
16,Zeke Nnaji,Arizona,Fr.
17,RJ Hampton,USA,Intl.
18,Isaiah Stewart,Washington,Fr.
19,Ashton Hagans,Kentucky,So.
20,Precious Achiuwa,Memphis,Fr.
21,Aaron Nesmith,Vanderbilt,So.
22,Tyrese Maxey,Kentucky,Fr.
23,Jordan Nwora,Louisville,Jr.
24,Ochai Agbaji,Kansas,So.
25,Paul Reed,DePaul,Jr.
26,Jalen Smith,Maryland,So.
27,Reggie Perry,Mississippi St.,So.
28,Devon Dotson,Kansas,So.
29,Udoka Azubuike,Kansas,Sr.
30,CJ Elleby,Washington St...,So.
31,Landers Nolley,Virginia Tech,So.
32,Devin Vassell,Florida St.,So.
33,Jay Scrubb,JUCO,So.
34,Cassius Stanley,Duke,Fr.
35,Saddiq Bey,Villanova,So.
36,Nick Richards,Kentucky,Jr.
37,Elijah Hughes,Syracuse,Jr.
38,Tyler Bey,Colorado,Jr.
39,Chris Smith,UCLA,Jr.
40,Omer Yurtseven,Georgetown,Jr.
41,Markus Howard,Marquette,Sr.
42,Arturs Zagars,Latvia,Intl.
43,Malachi Flynn,San Diego St.,Jr.
44,Austin Wiley,Auburn,Sr.
45,Payton Pritchard,Oregon,Sr.
46,Steven Enoch,Louisville,Sr.
47,Mamadi Diakite,Virginia,Sr.
48,Derrick Alston Jr.,Boise State,Jr.
49,Malik Fitts,St. Mary's,Jr.
50,Tre Jones,Duke,So.
51,Cassius Winston,Michigan St.,Sr.
52,Lamar Stevens,Penn State,Sr.
53,Malcolm Cazalon,France,Intl.
54,Paul Eboua,Italy,Intl.
55,Killian Tillie,Gonzaga,Sr.
56,Mustapha Heron,St. Johns,Sr.
57,Myles Powell,Seton Hall,Jr.
58,Henri Drell,Estonia,Intl.
59,Desmond Bane,TCU,Sr.
60,Cam Mack,Nebraska,So.
