Win Shares,Mins Played (per game),Player,Games,Year,Rank,Points(per game),WS/48,Box +/-,Value Overall Replacement Player,Team,College,Years,Mins Played (Total),Points (Total),Class
48.0,30.6,Kenyon Martin,757,2000,1,12.3,0.1,0.7,15.5,NJN,Cincinnati,15,23134,9325,Player
0.3,15.6,A.J. Guyton,80,2000,32,5.5,0.01,-5.4,-1.1,CHI,Indiana,3,1246,442,Player
11.6,14.3,Jake Voskuhl,450,2000,33,4.0,0.087,-2.2,-0.3,CHI,UConn,9,6443,1814,Player
0.6,18.7,Khalid El-Amin,50,2000,34,6.3,0.03,-3.8,-0.4,CHI,UConn,1,936,314,Bust
-0.1,10.6,Mike Smith,17,2000,35,3.0,-0.033,-5.5,-0.2,WAS,University of Louisiana at Monroe,1,180,51,Bust
20.0,17.3,Eddie House,717,2000,37,7.5,0.077,-1.5,1.6,MIA,Arizona State,11,12405,5356,Player
24.7,18.1,Eduardo Nájera,619,2000,38,4.9,0.106,0.3,6.4,HOU,Oklahoma,12,11213,3052,Player
-0.2,7.3,Lavor Postell,61,2000,39,3.2,-0.025,-8.6,-0.7,NYK,St. John's,3,446,195,Player
0.9,15.2,Hanno Möttölä,155,2000,40,4.6,0.019,-5.8,-2.3,ATL,Utah,2,2360,715,Bust
0.0,0.0,Chris Carrawell,0,2000,41,0.0,0.0,0.0,0.0,SAS,Duke,0,0,0,Bust
55.9,32.0,Michael Redd,629,2000,43,19.0,0.134,0.9,14.9,MIL,Ohio State,12,20104,11972,Player
0.3,9.4,Dan Langhi,133,2000,31,3.0,0.012,-6.8,-1.5,DAL,Vanderbilt,4,1253,393,Player
1.3,9.8,Jabari Smith,108,2000,45,3.0,0.058,-4.0,-0.5,SAC,LSU,4,1063,329,Player
0.0,0.0,Mark Karcher,0,2000,48,0.0,0.0,0.0,0.0,PHI,Temple,0,0,0,Bust
8.6,15.5,Jason Hart,341,2000,49,4.8,0.078,-1.7,0.3,MIL,Syracuse,9,5289,1623,Player
0.1,4.5,Kaniel Dickens,19,2000,50,1.2,0.055,-5.0,-0.1,UTA,Idaho,3,85,22,Player
-0.2,7.0,Ernest Brown,3,2000,52,1.0,-0.349,-24.7,-0.1,MIA,Indian Hills Community College,1,21,3,Bust
0.0,9.7,Dan McClintock,6,2000,53,3.0,0.007,-6.6,-0.1,DEN,Northern Arizona University,1,58,18,Bust
0.0,0.0,Cory Hightower,0,2000,54,0.0,0.0,0.0,0.0,SAS,Indian Hills Community College,0,0,0,Bust
0.2,22.5,Chris Porter,51,2000,55,8.6,0.008,-4.6,-0.8,GSW,Auburn,1,1147,440,Bust
0.0,0.0,Jaquay Walls,0,2000,56,0.0,0.0,0.0,0.0,IND,Colorado,0,0,0,Bust
0.0,0.0,Scoonie Penn,0,2000,57,0.0,0.0,0.0,0.0,ATL,Ohio State,0,0,0,Bust
