rank,player_id,name,college,year,assists,blocks,effective_field_goal_percentage,field_goal_percentage,free_throw_attempt_rate,free_throw_percentage,games_played,height,minutes_played,points,steals,three_point_percentage,three_pointers,total_rebounds,true_shooting_percentage,turnover_percentage,turnovers,win_shares_per_40_minutes,assists_per_40,blocks_per_40,points_per_40,steals_per_40,three_pointers_per_40,total_rebounds_per_40,turnovers_per_40
1,anthony-edwards-2,Anthony Edwards,missouri state,Fr.,68,12,0.485,0.411,0.328,0.746,23,77,730,452,33,0.318,55,127,0.526,12.1,59,0.163,3.726027397260274,0.6575342465753424,24.767123287671232,1.808219178082192,3.013698630136986,6.958904109589041,3.232876712328767
2,james-wiseman-1,James Wiseman,memphis,Fr.,1,9,0.769,0.769,1.038,0.704,3,85,69,59,1,0.0,0,32,0.76,7.2,3,0.443,0.5797101449275363,5.217391304347826,34.20289855072464,0.5797101449275363,0.0,18.55072463768116,1.7391304347826086
4,obadiah-toppin-1,Obi Toppin,dayton,So.,111,60,0.674,0.646,0.306,0.713,56,81,1590,926,46,0.398,33,365,0.684,14.6,116,0.244,2.792452830188679,1.5094339622641508,23.29559748427673,1.1572327044025157,0.830188679245283,9.182389937106919,2.9182389937106916
5,jaden-mcdaniels-1,Jaden McDaniels,washington,Fr.,49,35,0.453,0.396,0.347,0.741,23,81,733,285,20,0.318,28,135,0.499,21.2,77,0.087,2.673942701227831,1.9099590723055935,15.552523874488404,1.0914051841746248,1.5279672578444747,7.366984993178718,4.201909959072306
6,nico-mannion-1,Nico Mannion,arizona,Fr.,126,0,0.477,0.402,0.349,0.813,23,75,716,323,25,0.339,39,61,0.531,16.2,59,0.164,7.039106145251397,0.0,18.044692737430168,1.3966480446927374,2.17877094972067,3.407821229050279,3.2960893854748603
8,daniel-oturu-1,Daniel Oturu,minnesota,So.,46,107,0.578,0.567,0.423,0.668,58,82,1618,840,28,0.317,13,510,0.599,14.6,120,0.19,1.1372064276885043,2.6452410383189124,20.766378244746598,0.69221260815822,0.32138442521631644,12.608158220024722,2.9666254635352285
9,cole-anthony-1,Cole Anthony,north carolina,Fr.,42,4,0.424,0.356,0.429,0.727,12,75,405,238,20,0.333,28,81,0.482,14.5,42,0.121,4.148148148148148,0.3950617283950617,23.506172839506174,1.9753086419753085,2.765432098765432,8.0,4.148148148148148
10,vernon-careyjr-1,Vernon Carey Jr.,duke,Fr.,27,35,0.592,0.583,0.613,0.638,24,82,594,419,18,0.385,5,213,0.61,12.9,51,0.29,1.8181818181818183,2.356902356902357,28.215488215488215,1.2121212121212122,0.3367003367003367,14.343434343434343,3.4343434343434343
11,tyrese-haliburton-1,Tyrese Haliburton,iowa state,So.,267,45,0.631,0.509,0.173,0.775,57,77,1970,574,108,0.426,101,249,0.645,16.7,89,0.167,5.4213197969543145,0.9137055837563451,11.654822335025381,2.1928934010152283,2.050761421319797,5.055837563451777,1.8071065989847714
13,onyeka-okongwu-1,Onyeka Okongwu,southern california,Fr.,26,69,0.609,0.609,0.528,0.742,23,81,690,378,25,0.0,0,205,0.643,12.8,43,0.26,1.5072463768115942,4.0,21.913043478260867,1.4492753623188406,0.0,11.884057971014492,2.4927536231884058
