rank,name,college,year,prediction
1,Anthony Edwards,missouri state,Fr.,Pro Player
2,James Wiseman,memphis,Fr.,Bust
4,Obi Toppin,dayton,So.,Pro Player
5,Jaden McDaniels,washington,Fr.,Pro Player
6,Nico Mannion,arizona,Fr.,Bust
8,Daniel Oturu,minnesota,So.,Pro Player
9,Cole Anthony,north carolina,Fr.,Bust
10,Vernon Carey Jr.,duke,Fr.,Pro Player
11,Tyrese Haliburton,iowa state,So.,Bust
13,Onyeka Okongwu,southern california,Fr.,Pro Player
14,Isaac Okoro,auburn,Fr.,Pro Player
15,Josh Green,arizona,Fr.,Pro Player
16,Zeke Nnaji,arizona,Fr.,Pro Player
18,Isaiah Stewart,siena,Fr.,Pro Player
19,Ashton Hagans,kentucky,So.,Pro Player
20,Precious Achiuwa,memphis,Fr.,Pro Player
21,Aaron Nesmith,vanderbilt,So.,Pro Player
22,Tyrese Maxey,kentucky,Fr.,Pro Player
23,Jordan Nwora,louisville,Jr.,Pro Player
24,Ochai Agbaji,kansas,So.,Pro Player
25,Paul Reed,east tennessee state,Jr.,Pro Player
26,Jalen Smith,maryland,So.,Pro Player
27,Reggie Perry,mississippi state,So.,Pro Player
28,Devon Dotson,kansas,So.,Pro Player
29,Udoka Azubuike,kansas,Sr.,Pro Player
30,CJ Elleby,washington state,So.,Pro Player
31,Landers Nolley II,louisiana state,So.,Pro Player
32,Devin Vassell,florida state,So.,Pro Player
34,Cassius Stanley,duke,Fr.,Pro Player
35,Saddiq Bey,villanova,So.,Pro Player
36,Nick Richards,kentucky,Jr.,Pro Player
37,Elijah Hughes,syracuse,Jr.,Bust
38,Tyler Bey,colorado,Jr.,Pro Player
39,Chris Smith,connecticut,Jr.,Pro Player
40,Omer Yurtseven,georgetown,Jr.,Pro Player
41,Markus Howard,marquette,Sr.,Pro Player
43,Malachi Flynn,san diego state,Jr.,Bust
44,Austin Wiley,auburn,Sr.,Pro Player
45,Payton Pritchard,oregon,Sr.,Pro Player
46,Steven Enoch,louisville,Sr.,Pro Player
47,Mamadi Diakite,virginia,Sr.,Pro Player
48,Derrick Alston,boise state,Jr.,Pro Player
49,Malik Fitts,saint marys ca,Jr.,Pro Player
50,Tre Jones,duke,So.,Pro Player
51,Cassius Winston,michigan state,Sr.,Pro Player
52,Lamar Stevens,penn state,Sr.,Pro Player
55,Killian Tillie,gonzaga,Sr.,Pro Player
56,Mustapha Heron,st johns ny,Sr.,Pro Player
57,Myles Powell,seton hall,Jr.,Pro Player
59,Desmond Bane,texas christian,Sr.,Pro Player
60,Cam Mack,nebraska,So.,Bust
