win shares,mins played (per game),player,games,year,rank,points(per game),ws/48,box +/-,value overall replacement player,team,college,years,mins played (total),points (total),class,player_id,college_id,word
48.0,30.6,Kenyon Martin,757,2000,1,12.3,0.1,0.7,15.5,NJN,cincinnati,15,23134,9325,Player,kenyon-martin-1,cincinnati,cincinnati
0.3,15.6,A.J. Guyton,80,2000,32,5.5,0.01,-5.4,-1.1,CHI,indiana,3,1246,442,Player,aj-guyton-1,indiana,indiana
11.6,14.3,Jake Voskuhl,450,2000,33,4.0,0.087,-2.2,-0.3,CHI,uconn,9,6443,1814,Player,jake-voskuhl-1,connecticut,uconn
0.6,18.7,Khalid El-Amin,50,2000,34,6.3,0.03,-3.8,-0.4,CHI,uconn,1,936,314,Bust,khalid-el-amin-1,connecticut,uconn
-0.1,10.6,Mike Smith,17,2000,35,3.0,-0.033,-5.5,-0.2,WAS,university of louisiana at monroe,1,180,51,Bust,mike-smith-1,louisiana monroe,louisiana
20.0,17.3,Eddie House,717,2000,37,7.5,0.077,-1.5,1.6,MIA,arizona state,11,12405,5356,Player,eddie-house-1,arizona state,arizona
24.7,18.1,Eduardo Nájera,619,2000,38,4.9,0.106,0.3,6.4,HOU,oklahoma,12,11213,3052,Player,eduardo-najera-1,oklahoma,oklahoma
-0.2,7.3,Lavor Postell,61,2000,39,3.2,-0.025,-8.6,-0.7,NYK,st. john's,3,446,195,Player,lavor-postell-1,st johns ny,st
0.9,15.2,Hanno Möttölä,155,2000,40,4.6,0.019,-5.8,-2.3,ATL,utah,2,2360,715,Bust,hanno-mottola-1,utah,utah
0.0,0.0,Chris Carrawell,0,2000,41,0.0,0.0,0.0,0.0,SAS,duke,0,0,0,Bust,chris-carrawell-1,duke,duke
55.9,32.0,Michael Redd,629,2000,43,19.0,0.134,0.9,14.9,MIL,ohio state,12,20104,11972,Player,michael-redd-1,ohio state,ohio
0.3,9.4,Dan Langhi,133,2000,31,3.0,0.012,-6.8,-1.5,DAL,vanderbilt,4,1253,393,Player,dan-langhi-1,vanderbilt,vanderbilt
1.3,9.8,Jabari Smith,108,2000,45,3.0,0.057999999999999996,-4.0,-0.5,SAC,lsu,4,1063,329,Player,jabari-smith-1,louisiana state,lsu
