win shares,mins played (per game),player,games,year,rank,points(per game),ws/48,box +/-,value overall replacement player,team,college,years,mins played (total),points (total),class,player_id,college_id,word,name,big_conf_flag,assists,blocks,effective_field_goal_percentage,field_goal_percentage,free_throw_attempt_rate,free_throw_percentage,games_played,height,minutes_played,points,steals,three_point_percentage,three_pointers,total_rebounds,true_shooting_percentage,turnover_percentage,turnovers,win_shares_per_40_minutes,assists_per_40,blocks_per_40,points_per_40,steals_per_40,three_pointers_per_40,total_rebounds_per_40,turnovers_per_40
48.0,30.6,Kenyon Martin,757,2000,1,12.3,0.1,0.7,15.5,NJN,cincinnati,15,23134,9325,Player,kenyon-martin-1,cincinnati,cincinnati,Kenyon Martin,0,142,292,0.587,0.586,0.494,0.581,116,81,2042.0,1279,124,0.222,2.0,869,0.592,14.3,139.0,0.346,2.7815866797257587,5.719882468168462,25.053868756121453,2.428991185112635,0.039177277179236046,17.02252693437806,2.7228207639569053
0.3,15.6,A.J. Guyton,80,2000,32,5.5,0.01,-5.4,-1.1,CHI,indiana,3,1246,442,Player,aj-guyton-1,indiana,indiana,A.J. Guyton,1,403,52,0.541,0.455,0.249,0.79,128,73,3260.0,2100,129,0.414,283.0,429,0.572,13.6,218.0,0.145,4.9447852760736195,0.638036809815951,25.76687116564417,1.5828220858895705,3.4723926380368098,5.263803680981595,2.6748466257668713
11.6,14.3,Jake Voskuhl,450,2000,33,4.0,0.087,-2.2,-0.3,CHI,uconn,9,6443,1814,Player,jake-voskuhl-1,connecticut,uconn,Jake Voskuhl,1,124,193,0.542,0.542,0.555,0.656,138,83,2184.0,863,86,0.3291618569636134,0.0,880,0.573,23.0,160.0,0.237,2.271062271062271,3.534798534798535,15.805860805860805,1.575091575091575,0.0,16.117216117216117,2.9304029304029307
0.6,18.7,Khalid El-Amin,50,2000,34,6.3,0.03,-3.8,-0.4,CHI,uconn,1,936,314,Bust,khalid-el-amin-1,connecticut,uconn,Khalid El-Amin,1,479,10,0.486,0.416,0.257,0.822,108,70,2149.0,1650,186,0.355,195.0,319,0.527,15.6,188.0,0.158,8.915774778966961,0.18613308515588647,30.711959050721266,3.462075383899488,3.629595160539786,5.937645416472778,3.4993020009306655
-0.1,10.6,Mike Smith,17,2000,35,3.0,-0.033,-5.5,-0.2,WAS,university of louisiana at monroe,1,180,51,Bust,mike-smith-1,louisiana monroe,louisiana,Mike Smith,0,147,42,0.507,0.428,0.357,0.769,55,80,1938.0,1062,90,0.318,130.0,449,0.551,20.0,241.0,0.165,3.0340557275541795,0.8668730650154799,21.91950464396285,1.8575851393188856,2.6831785345717236,9.267285861713106,4.974200206398349
20.0,17.3,Eddie House,717,2000,37,7.5,0.077,-1.5,1.6,MIA,arizona state,11,12405,5356,Player,eddie-house-1,arizona state,arizona,Eddie House,1,405,19,0.495,0.425,0.187,0.798,124,73,4136.0,2044,258,0.366,250.0,502,0.523,10.8,195.0,0.113,3.916827852998066,0.18375241779497098,19.767891682785297,2.495164410058027,2.4177949709864603,4.854932301740813,1.885880077369439
24.7,18.1,Eduardo Nájera,619,2000,38,4.9,0.106,0.3,6.4,HOU,oklahoma,12,11213,3052,Player,eduardo-najera-1,oklahoma,oklahoma,Eduardo Najera,1,215,89,0.46,0.43,0.354,0.669,126,80,3001.0,1646,193,0.288,85.0,910,0.495,13.1,201.0,0.183,2.865711429523492,1.186271242919027,21.93935354881706,2.572475841386205,1.13295568143952,12.129290236587805,2.679106964345218
-0.2,7.3,Lavor Postell,61,2000,39,3.2,-0.025,-8.6,-0.7,NYK,st. john's,3,446,195,Player,lavor-postell-1,st johns ny,st,Lavor Postell,1,205,58,0.47,0.43,0.383,0.789,129,77,2845.0,1427,129,0.326,92.0,716,0.526,13.8,172.0,0.115,2.8822495606326886,0.8154657293497364,20.063268892794376,1.8137082601054484,1.2934973637961336,10.066783831282953,2.4182776801405974
0.9,15.2,Hanno Möttölä,155,2000,40,4.6,0.019,-5.8,-2.3,ATL,utah,2,2360,715,Bust,hanno-mottola-1,utah,utah,Hanno Mottola,1,139,50,0.533,0.5,0.415,0.774,120,83,2162.0,1492,37,0.333,71.0,551,0.58,14.9,159.0,0.207,2.5716928769657725,0.9250693802035153,27.604070305272895,0.6845513413506013,1.3135985198889917,10.194264569842739,2.941720629047179
0.0,0.0,Chris Carrawell,0,2000,41,0.0,0.0,0.0,0.0,SAS,duke,0,0,0,Bust,chris-carrawell-1,duke,duke,Chris Carrawell,1,309,114,0.514,0.486,0.415,0.667,136,78,2494.9002375296914,1455,105,0.36,62.0,608,0.545,15.219621749408972,177.15248226950354,0.181833531510107,4.954105905348011,1.8277283922643148,23.327586059162964,1.6834340455066057,0.9940277221086624,9.747884758743012,2.840233522842739
