,,,,Round 1,,,Totals,,,,,Shooting,,,Per Game,,,,Advanced,,,
Year,Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
2013,1,1,CLE,Anthony Bennett,UNLV,4,151,1905,658,472,77,0.392,0.261,0.67,12.6,4.4,3.1,0.5,0.5,0.013,-5.6,-1.7
2013,2,2,ORL,Victor Oladipo,Indiana,7,403,13381,7037,1861,1593,0.442,0.351,0.794,33.2,17.5,4.6,4,24.2,0.087,1.1,10.4
2013,3,3,WAS,Otto Porter,Georgetown,7,408,10973,4484,2020,607,0.482,0.405,0.791,26.9,11,5,1.5,29.6,0.129,1.9,10.7
2013,4,4,CHA,Cody Zeller,Indiana,7,406,9313,3472,2400,554,0.512,0.257,0.733,22.9,8.6,5.9,1.4,26.7,0.138,0.7,6.2
2013,5,5,PHO,Alex Len,Maryland,7,452,8945,3624,2829,387,0.493,0.33,0.69,19.8,8,6.3,0.9,17.4,0.093,-1.5,1.1
2013,6,6,NOH,Nerlens Noel,Kentucky,6,341,7635,2786,2159,413,0.538,0.286,0.65,22.4,8.2,6.3,1.2,20.7,0.13,2.2,8.1
2013,7,7,SAC,Ben McLemore,Kansas,7,416,9853,3724,1018,450,0.418,0.359,0.78,23.7,9,2.4,1.1,6.7,0.033,-2.6,-1.5
2013,8,8,DET,Kentavious Caldwell-Pope,Georgia,7,517,15185,6050,1670,851,0.416,0.351,0.8,29.4,11.7,3.2,1.6,26.8,0.085,0,7.8
2013,9,9,MIN,Trey Burke,Michigan,7,384,8841,4069,775,1351,0.41,0.343,0.798,23,10.6,2,3.5,11.2,0.061,-2.2,-0.4
2013,10,10,POR,CJ McCollum,Lehigh,7,456,13932,8299,1472,1368,0.455,0.398,0.832,30.6,18.2,3.2,3,30.4,0.105,0.2,7.6
2013,11,11,PHI,Michael Carter-Williams,Syracuse,7,340,8682,3584,1504,1518,0.401,0.251,0.704,25.5,10.5,4.4,4.5,6,0.033,-0.7,2.9
2013,12,12,OKC,Steven Adams,Pitt,7,511,13700,4984,3853,583,0.589,0,0.556,26.8,9.8,7.5,1.1,43.5,0.152,2,13.8
2013,13,13,DAL,Kelly Olynyk,Gonzaga,7,475,10171,4615,2308,872,0.477,0.37,0.773,21.4,9.7,4.9,1.8,27.2,0.128,1.4,8.7
2013,14,14,UTA,Shabazz Muhammad,UCLA,5,278,4772,2504,770,151,0.473,0.319,0.751,17.2,9,2.8,0.5,8.5,0.085,-4.1,-2.5
2013,15,15,MIL,Giannis Antetokounmpo,,7,509,16570,10065,4416,2171,0.525,0.286,0.724,32.6,19.8,8.7,4.3,61.5,0.178,5.1,29.6
2013,16,16,BOS,Lucas Nogueira,,4,141,1754,446,388,72,0.632,0.265,0.64,12.4,3.2,2.8,0.5,6,0.165,4.8,3
2013,17,17,ATL,Dennis Schröder,,7,480,12181,6705,1358,2200,0.435,0.336,0.827,25.4,14,2.8,4.6,15.9,0.063,-1.8,0.6
2013,18,18,ATL,Shane Larkin,Miami (FL),4,256,4880,1399,490,737,0.422,0.336,0.777,19.1,5.5,1.9,2.9,4.4,0.044,-2.5,-0.6
2013,19,19,CLE,Sergey Karasev,,3,95,1110,287,140,87,0.395,0.282,0.842,11.7,3,1.5,0.9,0.8,0.036,-3.1,-0.3
2013,20,20,CHI,Tony Snell,New Mexico,7,485,10776,3106,1124,519,0.428,0.387,0.831,22.2,6.4,2.3,1.1,15.3,0.068,-1.8,0.6
2013,21,21,UTA,Gorgui Dieng,Louisville,7,495,10996,3919,3058,686,0.5,0.351,0.79,22.2,7.9,6.2,1.4,26.6,0.116,1.6,10
2013,22,22,BRK,Mason Plumlee,Duke,7,514,11170,4306,3216,1134,0.573,0.065,0.564,21.7,8.4,6.3,2.2,33.5,0.144,2.5,12.5
2013,23,23,IND,Solomon Hill,Arizona,7,352,7799,2079,1140,563,0.397,0.338,0.798,22.2,5.9,3.2,1.6,10.4,0.064,-0.7,2.5
2013,24,24,NYK,Tim Hardaway,Michigan,7,448,11715,5903,1165,815,0.419,0.35,0.813,26.1,13.2,2.6,1.8,17.6,0.072,-1.7,0.9
2013,25,25,LAC,Reggie Bullock,UNC,7,287,5616,2002,594,319,0.433,0.387,0.825,19.6,7,2.1,1.1,10.1,0.087,-0.8,1.7
2013,26,26,MIN,Andre Roberson,Colorado,5,295,6651,1356,1188,257,0.482,0.257,0.467,22.5,4.6,4,0.9,12.7,0.092,0.6,4.4
2013,27,27,DEN,Rudy Gobert,,7,452,13243,5251,4944,618,0.637,0,0.628,29.3,11.6,10.9,1.4,60.8,0.22,5.1,24
