,,,,Round 1,,,Totals,,,,,Shooting,,,Per Game,,,,Advanced,,,
Year,Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
2014,1,1,CLE,Andrew Wiggins,Kansas,6,439,15741,8662,1904,1011,0.441,0.332,0.734,35.9,19.7,4.3,2.3,14.9,0.045,-2.3,-1.4
2014,2,2,MIL,Jabari Parker,Duke,6,279,8178,4204,1610,583,0.492,0.324,0.738,29.3,15.1,5.8,2.1,12.9,0.076,-1.4,1.2
2014,3,3,PHI,Joel Embiid,Kansas,4,191,5876,4603,2210,605,0.481,0.318,0.793,30.8,24.1,11.6,3.2,21.2,0.173,3.4,8.1
2014,4,4,ORL,Aaron Gordon,Arizona,6,383,10831,4806,2413,857,0.446,0.317,0.702,28.3,12.5,6.3,2.2,19.7,0.088,0.1,5.6
2014,5,5,UTA,Dante Exum,,5,231,4301,1327,402,491,0.405,0.307,0.768,18.6,5.7,1.7,2.1,2.9,0.033,-3.3,-1.4
2014,6,6,BOS,Marcus Smart,Oklahoma State,6,379,10882,3642,1341,1521,0.373,0.316,0.77,28.7,9.6,3.5,4,19.2,0.085,0.7,7.5
2014,7,7,LAL,Julius Randle,Kentucky,6,358,10373,5676,3192,1000,0.493,0.295,0.719,29,15.9,8.9,2.8,19.3,0.089,-0.4,4.1
2014,8,8,SAC,Nik Stauskas,Michigan,5,335,6662,2272,688,513,0.389,0.353,0.814,19.9,6.8,2.1,1.5,3.8,0.028,-3.2,-2.1
2014,9,9,CHH,Noah Vonleh,Indiana,6,328,5642,1647,1733,254,0.459,0.307,0.692,17.2,5,5.3,0.8,9.3,0.079,-2.5,-0.7
2014,10,10,PHI,Elfrid Payton,LA-Lafayette,6,373,10929,4075,1628,2443,0.452,0.295,0.625,29.3,10.9,4.4,6.5,14,0.061,-0.4,4.5
2014,11,11,DEN,Doug McDermott,Creighton,6,389,7807,3160,854,323,0.463,0.415,0.824,20.1,8.1,2.2,0.8,13,0.08,-2.8,-1.5
