,,,,Round 1,,,Totals,,,,,Shooting,,,Per Game,,,,Advanced,,,
Year,Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
2019,1,1,NOP,Zion Williamson,Duke,1,5,125,96,39,9,0.625,0.667,0.48,25,19.2,7.8,1.8,0.4,0.144,-0.1,0.1
2019,2,2,MEM,Ja Morant,Murray State,1,43,1282,751,147,305,0.491,0.389,0.779,29.8,17.5,3.4,7.1,2.4,0.092,-0.9,0.4
2019,3,3,NYK,RJ Barrett,Duke,1,41,1281,578,215,101,0.393,0.329,0.603,31.2,14.1,5.2,2.5,-0.5,-0.02,-4,-0.7
2019,4,4,LAL,De'Andre Hunter,Virginia,1,48,1492,590,180,88,0.411,0.333,0.766,31.1,12.3,3.8,1.8,-0.1,-0.002,-4.5,-1
2019,5,5,CLE,Darius Garland,Vanderbilt,1,48,1449,589,94,176,0.394,0.351,0.862,30.2,12.3,2,3.7,-1.3,-0.043,-5.7,-1.4
2019,6,6,PHO,Jarrett Culver,Texas Tech,1,46,1138,433,164,88,0.389,0.277,0.456,24.7,9.4,3.6,1.9,-0.1,-0.006,-3.2,-0.3
2019,7,7,CHI,Coby White,UNC,1,51,1221,566,174,108,0.376,0.345,0.729,23.9,11.1,3.4,2.1,0.1,0.004,-4.5,-0.8
2019,8,8,ATL,Jaxson Hayes,Texas,1,46,880,386,207,44,0.665,0.25,0.627,19.1,8.4,4.5,1,3.2,0.174,1.8,0.8
2019,9,9,WAS,Rui Hachimura,Gonzaga,1,25,729,348,145,40,0.482,0.208,0.852,29.2,13.9,5.8,1.6,0.9,0.056,-3.6,-0.3
2019,10,10,ATL,Cam Reddish,Duke,1,45,1189,419,173,70,0.352,0.312,0.789,26.4,9.3,3.8,1.6,-0.8,-0.032,-5,-0.9
2019,11,11,MIN,Cameron Johnson,UNC,1,38,754,297,116,36,0.42,0.398,0.75,19.8,7.8,3.1,0.9,1.3,0.084,-0.8,0.2
2019,12,12,CHO,PJ Washington,Kentucky,1,43,1294,524,230,88,0.477,0.401,0.657,30.1,12.2,5.3,2,1.8,0.065,-1,0.3
2019,13,13,MIA,Tyler Herro,Kentucky,1,44,1236,578,183,90,0.413,0.388,0.829,28.1,13.1,4.2,2,1,0.039,-3.4,-0.4
2019,14,14,BOS,Romeo Langford,Indiana,1,13,114,31,11,2,0.458,0.2,0.875,8.8,2.4,0.8,0.2,0.2,0.09,-2.6,0
2019,15,15,DET,Sekou Doumbouya,,1,22,423,148,69,9,0.441,0.275,0.688,19.2,6.7,3.1,0.4,0.2,0.019,-5.3,-0.4
2019,16,16,ORL,Chuma Okeke,Auburn,,,,,,,,,,,,,,,,,
2019,17,17,BRK,Nickeil Alexander-Walker,Virginia Tech,1,39,494,211,78,73,0.342,0.342,0.607,12.7,5.4,2,1.9,-0.3,-0.034,-6,-0.5
2019,18,18,IND,Goga Bitadze,,1,38,351,122,86,19,0.48,0.167,0.69,9.2,3.2,2.3,0.5,0.5,0.073,-2,0
2019,19,19,SAS,Luka Šamanić,,,,,,,,,,,,,,,,,,
2019,20,20,BOS,Matisse Thybulle,Washington,1,41,824,200,66,52,0.386,0.366,0.639,20.1,4.9,1.6,1.3,1.5,0.086,1.8,0.8
2019,21,21,OKC,Brandon Clarke,Gonzaga,1,42,912,511,242,62,0.626,0.4,0.833,21.7,12.2,5.8,1.5,3.5,0.187,2.5,1
2019,22,22,BOS,Grant Williams,Tennessee,1,45,676,149,116,49,0.384,0.233,0.69,15,3.3,2.6,1.1,0.8,0.057,-1.2,0.1
2019,23,23,UTA,Darius Bazley,,1,50,873,225,190,29,0.384,0.302,0.667,17.5,4.5,3.8,0.6,0.4,0.02,-3.8,-0.4
2019,24,24,PHI,Ty Jerome,Virginia,1,18,212,73,30,33,0.397,0.355,0.8,11.8,4.1,1.7,1.8,0.2,0.055,-2,0
2019,25,25,POR,Nassir Little,UNC,1,37,463,136,93,18,0.425,0.234,0.657,12.5,3.7,2.5,0.5,0.5,0.05,-3.1,-0.1
